title,manufacturer,report_date,year_folder,page_url,slug,local_path
"Cruise November 7, 2019 (2) (PDF)",Cruise,2019-11-07,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-november-7-2019-2-pdf/,cruise-collision-report-november-7-2019-2-pdf,reports/2019/cruise-collision-report-november-7-2019-2-pdf.pdf
"Cruise November 9, 2019 (PDF)",Cruise,2019-11-09,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-november-9-2019-pdf/,cruise-collision-report-november-9-2019-pdf,reports/2019/cruise-collision-report-november-9-2019-pdf.pdf
"Cruise November 10, 2019 (PDF)",Cruise,2019-11-10,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-november-10-2019-pdf/,cruise-collision-report-november-10-2019-pdf,reports/2019/cruise-collision-report-november-10-2019-pdf.pdf
"Cruise November 18, 2019 (PDF)",Cruise,2019-11-18,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-november-18-2019-pdf/,cruise-collision-report-november-18-2019-pdf,reports/2019/cruise-collision-report-november-18-2019-pdf.pdf
"Lyft November 19, 2019 (PDF)",Lyft,2019-11-19,2019,https://www.dmv.ca.gov/portal/file/lyft-collision-report-november-19-2019-pdf/,lyft-collision-report-november-19-2019-pdf,reports/2019/lyft-collision-report-november-19-2019-pdf.pdf
"Zoox November 22, 2019 (PDF)",Zoox,2019-11-22,2019,https://www.dmv.ca.gov/portal/file/collision-report-zoox-november-22-2019-pdf/,collision-report-zoox-november-22-2019-pdf,reports/2019/collision-report-zoox-november-22-2019-pdf.pdf
"Cruise November 25, 2019 (PDF)",Cruise,2019-11-25,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-november-25-2019-pdf/,cruise-collision-report-november-25-2019-pdf,reports/2019/cruise-collision-report-november-25-2019-pdf.pdf
"Cruise November 29, 2019 (PDF)",Cruise,2019-11-29,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-november-29-2019-pdf/,cruise-collision-report-november-29-2019-pdf,reports/2019/cruise-collision-report-november-29-2019-pdf.pdf
"Cruise December 8, 2019 (PDF)",Cruise,2019-12-08,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-december-8-2019-pdf/,cruise-collision-report-december-8-2019-pdf,reports/2019/cruise-collision-report-december-8-2019-pdf.pdf
"Cruise December 13, 2019 (PDF)",Cruise,2019-12-13,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-december-13-2019-pdf/,cruise-collision-report-december-13-2019-pdf,reports/2019/cruise-collision-report-december-13-2019-pdf.pdf
"Zoox December 19, 2019 (PDF)",Zoox,2019-12-19,2019,https://www.dmv.ca.gov/portal/file/collision-report-zoox-december-19-2019-pdf/,collision-report-zoox-december-19-2019-pdf,reports/2019/collision-report-zoox-december-19-2019-pdf.pdf
"Cruise December 19, 2019 (PDF)",Cruise,2019-12-19,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-december-19-2019-pdf/,cruise-collision-report-december-19-2019-pdf,reports/2019/cruise-collision-report-december-19-2019-pdf.pdf
"Zoox December 20, 2019 (PDF)",Zoox,2019-12-20,2019,https://www.dmv.ca.gov/portal/file/collision-report-zoox-december-20-2019-pdf/,collision-report-zoox-december-20-2019-pdf,reports/2019/collision-report-zoox-december-20-2019-pdf.pdf
